"filename", "language", "JavaScript", "TypeScript JSX", "XML", "JSON", "comment", "blank", "total"
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/assets/bwc.svg", "XML", 0, 0, 3, 0, 0, 0, 3
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/colorr/colors.js", "JavaScript", 32, 0, 0, 0, 0, 2, 34
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/components/AssetExample.js", "JavaScript", 29, 0, 0, 0, 0, 3, 32
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/components/Brand/Favorioties.js", "JavaScript", 78, 0, 0, 0, 1, 2, 81
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/components/Brand/Horizontal.js", "JavaScript", 36, 0, 0, 0, 0, 2, 38
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/components/Brand/Offers.js", "JavaScript", 55, 0, 0, 0, 0, 3, 58
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/components/Button.js", "JavaScript", 84, 0, 0, 0, 0, 2, 86
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/components/DashBordHeader.js", "JavaScript", 153, 0, 0, 0, 19, 4, 176
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/components/Header.js", "JavaScript", 46, 0, 0, 0, 1, 3, 50
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/components/MoreProductSection.js", "JavaScript", 112, 0, 0, 0, 5, 4, 121
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/components/ProductListCmp/index.js", "JavaScript", 191, 0, 0, 0, 0, 20, 211
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/components/TopHorizontal/index.js", "JavaScript", 56, 0, 0, 0, 142, 11, 209
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/components/bestOffers.js", "JavaScript", 95, 0, 0, 0, 52, 5, 152
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/components/bottomImageBar.js", "JavaScript", 100, 0, 0, 0, 6, 11, 117
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/components/brand.js", "JavaScript", 99, 0, 0, 0, 1, 4, 104
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/components/brand2.js", "JavaScript", 122, 0, 0, 0, 115, 15, 252
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/components/newCollection.js", "JavaScript", 157, 0, 0, 0, 14, 4, 175
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/custom/Text.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 4, 62
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/custom/customToast.tsx", "TypeScript JSX", 0, 133, 0, 0, 0, 6, 139
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/custom/index.tsx", "TypeScript JSX", 0, 43, 0, 0, 1, 4, 48
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/navigation/DashboardScreen.js", "JavaScript", 116, 0, 0, 0, 0, 5, 121
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/redux/Api/Constants/index.js", "JavaScript", 4, 0, 0, 0, 14, 2, 20
"/Users/aryansaini/FOLDER/My Projects/Bworth/MyPr1/src/redux/Api/index.js", "JavaScript", 91, 0, 0, 0, 48, 9, 148
